EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN
DATA=
TIMEZONE_OFFSET=330
122,1450.2,1451.5,1450,1451
123,1450.4,1450.75,1450.4,1450.55
124,1449.1,1450,1449.1,1450
125,1449.15,1450,1449.15,1450
126,1449.25,1449.25,1449.25,1449.25
127,1450.8,1450.8,1450.8,1450.8
128,1450.7,1450.7,1450.7,1450.7
130,1450,1450,1450,1450
131,1449,1449.85,1449,1449.85
132,1453.75,1453.75,1449.9,1449.9
133,1455.8,1455.9,1452.65,1452.65
134,1455.3,1456.35,1455.3,1455.8
135,1452.85,1455.3,1452.85,1455.3
136,1453.85,1453.85,1452.25,1453
137,1452,1452.95,1451.6,1452.65
138,1453,1453,1452,1452
139,1451.15,1453.65,1451.05,1453.65
140,1451.15,1452.4,1451.15,1452
141,1452.7,1453.7,1451.6,1451.9
142,1451.95,1452.5,1451.5,1451.5
143,1451.55,1453.7,1451.55,1452.05
144,1451.95,1452.75,1451.55,1451.55
145,1452.5,1452.5,1452,1452
146,1452.55,1452.7,1452.55,1452.7
147,1452.05,1452.7,1452.05,1452.5
148,1453.85,1453.85,1452.05,1452.05
149,1452.1,1453.05,1452.1,1453.05
150,1449.75,1452.05,1449.75,1452.05
151,1449.8,1450,1449,1449
152,1449.3,1450,1449.25,1450
153,1449.45,1449.45,1449.45,1449.45
154,1449,1449.3,1449,1449.3
155,1450,1450.75,1450,1450.75
156,1450,1450.25,1450,1450.25
158,1449,1449.95,1449,1449.95
159,1449.5,1449.5,1449,1449
160,1449.1,1449.1,1449.1,1449.1
161,1449.6,1450.25,1449.1,1450
162,1450.6,1451.45,1450.45,1450.5
163,1451.3,1451.4,1450.8,1450.8
164,1451.05,1451.3,1451.05,1451.3
165,1451.1,1451.5,1451.05,1451.05
166,1452,1452,1451.25,1451.25
167,1451,1452,1451,1452
168,1451.3,1451.3,1451.05,1451.05
169,1451,1451.3,1451,1451.3
170,1451,1451.05,1451,1451
171,1451,1451.05,1451,1451
172,1451.65,1451.65,1451,1451
173,1451,1451.75,1451,1451.75
174,1451,1451,1451,1451
175,1451.1,1451.1,1451.1,1451.1
176,1451.9,1451.9,1451,1451
177,1451,1451.05,1451,1451.05
178,1451.8,1451.8,1451,1451
179,1451.8,1451.8,1451.8,1451.8
180,1452,1452,1452,1452
181,1451.8,1451.8,1451.8,1451.8
182,1452,1452,1451.8,1451.8
183,1454.4,1454.4,1453,1453
184,1455,1455,1454.25,1454.25
185,1456,1459,1455,1455.05
186,1455.75,1456,1455.1,1456
187,1455.55,1456,1455.1,1455.1
188,1455.1,1455.55,1454.75,1455.55
189,1453.8,1453.8,1453.8,1453.8
190,1453.6,1455,1453.25,1453.25
191,1454.7,1455,1454.7,1455
192,1455.4,1455.5,1455.4,1455.5
193,1455.4,1455.4,1455,1455
194,1455,1455.2,1455,1455
195,1455,1456,1455,1456
196,1456,1456,1455,1455
198,1455.05,1455.1,1455.05,1455.1
199,1455.1,1456,1455.1,1456
200,1455,1455.15,1455,1455.15
201,1455.5,1455.5,1455,1455
202,1455,1455.1,1455,1455
203,1455,1455.05,1455,1455
205,1456,1456,1456,1456
206,1455.05,1455.05,1455.05,1455.05
207,1455,1455.05,1455,1455.05
208,1456,1456,1455,1455
209,1455.35,1455.35,1455.35,1455.35
210,1455.95,1455.95,1455.95,1455.95
211,1456,1456,1456,1456
212,1459,1459,1457,1457
213,1456.6,1457.95,1456.6,1457.95
214,1455.95,1456.6,1455.95,1456.6
215,1455.6,1456.05,1455.35,1455.95
216,1455.45,1455.55,1455.2,1455.55
217,1456.85,1457.05,1455.6,1455.6
218,1456.85,1457.7,1456.85,1456.95
219,1455.1,1457.55,1455.1,1456.85
220,1455.05,1455.5,1455.05,1455.5
221,1455,1457.5,1455,1457.5
222,1455.05,1455.5,1455,1455
223,1455.1,1455.9,1455,1455
224,1451.5,1455,1451.3,1455
225,1452,1453.55,1451.85,1453.55
226,1452,1452.8,1452,1452
227,1452,1452,1452,1452
228,1452,1452.1,1452,1452.1
229,1452,1452,1452,1452
230,1452,1452.9,1452,1452.9
231,1452,1452.9,1452,1452
232,1452.1,1452.9,1452,1452.9
233,1452,1452.1,1452,1452
234,1452.05,1452.85,1452,1452.05
235,1452,1452.85,1452,1452.85
236,1452.85,1452.85,1452,1452
237,1453.35,1454,1452,1452
238,1452.1,1453.1,1452,1453.1
239,1452.9,1452.9,1452,1452
240,1452,1452.9,1452,1452.1
241,1452.05,1452.15,1451.85,1452
242,1451.6,1452,1451.6,1452
243,1451.6,1452.5,1451.6,1452.5
244,1451.6,1453.1,1451.6,1452.6
245,1451.7,1452.9,1451.6,1451.6
246,1451.6,1451.7,1451.6,1451.7
247,1451.6,1451.7,1451.6,1451.6
248,1451.6,1451.6,1451.6,1451.6
249,1451.6,1451.8,1451.6,1451.8
250,1453.55,1453.55,1451.6,1451.6
251,1453,1453,1453,1453
252,1453,1453,1453,1453
253,1453.65,1453.65,1452.5,1452.5
254,1453,1453.3,1452.8,1452.8
256,1453,1453,1453,1453
258,1457,1457.25,1454.5,1454.5
259,1455.25,1456.3,1455.1,1456.3
260,1457,1457.15,1455.3,1457
261,1454.25,1457,1454.25,1457
262,1457.9,1457.9,1455.8,1455.8
263,1457.3,1458.85,1457.3,1458.3
264,1457.35,1457.35,1457.3,1457.3
265,1460.45,1461.8,1457.05,1457.3
266,1456.95,1460.45,1456.95,1460.45
267,1457,1457.25,1456.75,1456.75
268,1455.8,1457,1455.8,1457
269,1456.65,1456.75,1455.25,1456.75
270,1455.6,1456.9,1455.3,1455.3
271,1455.3,1455.35,1455.25,1455.35
272,1455.1,1455.3,1454.45,1455.25
273,1456.2,1456.2,1455.1,1455.85
274,1455.8,1456.2,1455.8,1456.2
275,1455.05,1456.2,1455,1456.2
276,1455.45,1456.5,1455.45,1456.5
277,1455.05,1455.5,1455.05,1455.4
278,1454.3,1454.4,1454.05,1454.4
279,1455.15,1455.15,1453.55,1454.75
280,1455.15,1455.15,1454.15,1454.15
281,1456,1456,1456,1456
282,1457,1457,1454.5,1455.7
283,1458,1458.75,1457.5,1457.5
284,1458,1458,1458,1458
285,1458.85,1459.25,1458,1458.9
286,1459,1459.7,1458.05,1459.7
287,1458.8,1459.25,1458,1459.25
288,1459,1459.35,1458,1458.2
289,1458.25,1459.45,1458,1458
290,1457.75,1458.25,1457.5,1458
291,1457.75,1458,1457.5,1457.75
292,1458,1458,1458,1458
293,1458,1458.4,1457.5,1458
294,1458,1458.65,1458,1458.65
295,1458,1458.7,1458,1458
296,1458.05,1458.05,1457,1457
297,1458.35,1459,1458,1458
298,1458.75,1458.95,1457.45,1458.95
299,1461,1462.3,1458,1458
300,1462.1,1463,1461,1461
301,1459.75,1462.1,1459.75,1462.1
